2021-10-06 11:30:37 install fontconfig-config:all <none> 2.13.1-2ubuntu3
2021-10-06 11:30:37 status half-installed fontconfig-config:all 2.13.1-2ubuntu3
2021-10-06 11:30:37 status unpacked fontconfig-config:all 2.13.1-2ubuntu3
2021-10-06 11:30:37 install libfontconfig1:amd64 <none> 2.13.1-2ubuntu3
2021-10-06 11:30:37 status half-installed libfontconfig1:amd64 2.13.1-2ubuntu3
2021-10-06 11:30:37 status unpacked libfontconfig1:amd64 2.13.1-2ubuntu3
2021-10-06 11:30:37 install libxcb-render0:amd64 <none> 1.14-2
2021-10-06 11:30:37 status half-installed libxcb-render0:amd64 1.14-2
2021-10-06 11:30:37 status unpacked libxcb-render0:amd64 1.14-2
2021-10-06 11:30:37 install libcairo2:amd64 <none> 1.16.0-4ubuntu1
2021-10-06 11:30:37 status half-installed libcairo2:amd64 1.16.0-4ubuntu1
2021-10-06 11:30:37 status unpacked libcairo2:amd64 1.16.0-4ubuntu1
2021-10-06 11:30:37 install libcairo-gobject2:amd64 <none> 1.16.0-4ubuntu1
2021-10-06 11:30:37 status half-installed libcairo-gobject2:amd64 1.16.0-4ubuntu1
2021-10-06 11:30:37 status unpacked libcairo-gobject2:amd64 1.16.0-4ubuntu1
2021-10-06 11:30:37 install fontconfig:amd64 <none> 2.13.1-2ubuntu3
2021-10-06 11:30:37 status half-installed fontconfig:amd64 2.13.1-2ubuntu3
2021-10-06 11:30:37 status unpacked fontconfig:amd64 2.13.1-2ubuntu3
2021-10-06 11:30:37 install libgraphite2-3:amd64 <none> 1.3.13-11build1
2021-10-06 11:30:37 status half-installed libgraphite2-3:amd64 1.3.13-11build1
2021-10-06 11:30:37 status unpacked libgraphite2-3:amd64 1.3.13-11build1
2021-10-06 11:30:37 install libharfbuzz0b:amd64 <none> 2.6.4-1ubuntu4
2021-10-06 11:30:37 status half-installed libharfbuzz0b:amd64 2.6.4-1ubuntu4
2021-10-06 11:30:38 status unpacked libharfbuzz0b:amd64 2.6.4-1ubuntu4
2021-10-06 11:30:38 install libthai-data:all <none> 0.1.28-3
2021-10-06 11:30:38 status half-installed libthai-data:all 0.1.28-3
2021-10-06 11:30:38 status unpacked libthai-data:all 0.1.28-3
2021-10-06 11:30:38 install libdatrie1:amd64 <none> 0.2.12-3
2021-10-06 11:30:38 status half-installed libdatrie1:amd64 0.2.12-3
2021-10-06 11:30:38 status unpacked libdatrie1:amd64 0.2.12-3
2021-10-06 11:30:38 install libthai0:amd64 <none> 0.1.28-3
2021-10-06 11:30:38 status half-installed libthai0:amd64 0.1.28-3
2021-10-06 11:30:38 status unpacked libthai0:amd64 0.1.28-3
2021-10-06 11:30:38 install libpango-1.0-0:amd64 <none> 1.44.7-2ubuntu4
2021-10-06 11:30:38 status half-installed libpango-1.0-0:amd64 1.44.7-2ubuntu4
2021-10-06 11:30:38 status unpacked libpango-1.0-0:amd64 1.44.7-2ubuntu4
2021-10-06 11:30:38 install libpangoft2-1.0-0:amd64 <none> 1.44.7-2ubuntu4
2021-10-06 11:30:38 status half-installed libpangoft2-1.0-0:amd64 1.44.7-2ubuntu4
2021-10-06 11:30:38 status unpacked libpangoft2-1.0-0:amd64 1.44.7-2ubuntu4
2021-10-06 11:30:38 install libpangocairo-1.0-0:amd64 <none> 1.44.7-2ubuntu4
2021-10-06 11:30:38 status half-installed libpangocairo-1.0-0:amd64 1.44.7-2ubuntu4
2021-10-06 11:30:38 status unpacked libpangocairo-1.0-0:amd64 1.44.7-2ubuntu4
2021-10-06 11:30:38 install librsvg2-2:amd64 <none> 2.48.9-1ubuntu0.20.04.1
2021-10-06 11:30:38 status half-installed librsvg2-2:amd64 2.48.9-1ubuntu0.20.04.1
2021-10-06 11:30:39 status unpacked librsvg2-2:amd64 2.48.9-1ubuntu0.20.04.1
2021-10-06 11:30:39 install librsvg2-common:amd64 <none> 2.48.9-1ubuntu0.20.04.1
2021-10-06 11:30:39 status half-installed librsvg2-common:amd64 2.48.9-1ubuntu0.20.04.1
2021-10-06 11:30:39 status unpacked librsvg2-common:amd64 2.48.9-1ubuntu0.20.04.1
2021-10-06 11:30:39 install humanity-icon-theme:all <none> 0.6.15
2021-10-06 11:30:39 status half-installed humanity-icon-theme:all 0.6.15
2021-10-06 11:30:40 status unpacked humanity-icon-theme:all 0.6.15
2021-10-06 11:30:40 install ubuntu-mono:all <none> 19.04-0ubuntu3
2021-10-06 11:30:40 status half-installed ubuntu-mono:all 19.04-0ubuntu3
2021-10-06 11:30:41 status unpacked ubuntu-mono:all 19.04-0ubuntu3
2021-10-06 11:30:41 install adwaita-icon-theme:all <none> 3.36.1-2ubuntu0.20.04.2
2021-10-06 11:30:41 status half-installed adwaita-icon-theme:all 3.36.1-2ubuntu0.20.04.2
2021-10-06 11:30:42 status unpacked adwaita-icon-theme:all 3.36.1-2ubuntu0.20.04.2
2021-10-06 11:30:42 install libatspi2.0-0:amd64 <none> 2.36.0-2
2021-10-06 11:30:42 status half-installed libatspi2.0-0:amd64 2.36.0-2
2021-10-06 11:30:42 status unpacked libatspi2.0-0:amd64 2.36.0-2
2021-10-06 11:30:42 install libxtst6:amd64 <none> 2:1.2.3-1
2021-10-06 11:30:42 status half-installed libxtst6:amd64 2:1.2.3-1
2021-10-06 11:30:42 status unpacked libxtst6:amd64 2:1.2.3-1
2021-10-06 11:30:42 install at-spi2-core:amd64 <none> 2.36.0-2
2021-10-06 11:30:42 status half-installed at-spi2-core:amd64 2.36.0-2
2021-10-06 11:30:42 status unpacked at-spi2-core:amd64 2.36.0-2
2021-10-06 11:30:42 install dbus-user-session:amd64 <none> 1.12.16-2ubuntu2.1
2021-10-06 11:30:42 status half-installed dbus-user-session:amd64 1.12.16-2ubuntu2.1
2021-10-06 11:30:42 status unpacked dbus-user-session:amd64 1.12.16-2ubuntu2.1
2021-10-06 11:30:42 install libdconf1:amd64 <none> 0.36.0-1
2021-10-06 11:30:42 status half-installed libdconf1:amd64 0.36.0-1
2021-10-06 11:30:42 status unpacked libdconf1:amd64 0.36.0-1
2021-10-06 11:30:42 install dconf-service:amd64 <none> 0.36.0-1
2021-10-06 11:30:42 status half-installed dconf-service:amd64 0.36.0-1
2021-10-06 11:30:42 status unpacked dconf-service:amd64 0.36.0-1
2021-10-06 11:30:42 install dconf-gsettings-backend:amd64 <none> 0.36.0-1
2021-10-06 11:30:42 status half-installed dconf-gsettings-backend:amd64 0.36.0-1
2021-10-06 11:30:42 status unpacked dconf-gsettings-backend:amd64 0.36.0-1
2021-10-06 11:30:42 install libgif7:amd64 <none> 5.1.9-1
2021-10-06 11:30:42 status half-installed libgif7:amd64 5.1.9-1
2021-10-06 11:30:42 status unpacked libgif7:amd64 5.1.9-1
2021-10-06 11:30:42 install libid3tag0:amd64 <none> 0.15.1b-14
2021-10-06 11:30:42 status half-installed libid3tag0:amd64 0.15.1b-14
2021-10-06 11:30:42 status unpacked libid3tag0:amd64 0.15.1b-14
2021-10-06 11:30:43 install libimlib2:amd64 <none> 1.6.1-1ubuntu0.1
2021-10-06 11:30:43 status half-installed libimlib2:amd64 1.6.1-1ubuntu0.1
2021-10-06 11:30:43 status unpacked libimlib2:amd64 1.6.1-1ubuntu0.1
2021-10-06 11:30:43 install giblib1:amd64 <none> 1.2.4-12
2021-10-06 11:30:43 status half-installed giblib1:amd64 1.2.4-12
2021-10-06 11:30:43 status unpacked giblib1:amd64 1.2.4-12
2021-10-06 11:30:43 install libproxy1v5:amd64 <none> 0.4.15-10ubuntu1.2
2021-10-06 11:30:43 status half-installed libproxy1v5:amd64 0.4.15-10ubuntu1.2
2021-10-06 11:30:43 status unpacked libproxy1v5:amd64 0.4.15-10ubuntu1.2
2021-10-06 11:30:43 install glib-networking-common:all <none> 2.64.2-1ubuntu0.1
2021-10-06 11:30:43 status half-installed glib-networking-common:all 2.64.2-1ubuntu0.1
2021-10-06 11:30:43 status unpacked glib-networking-common:all 2.64.2-1ubuntu0.1
2021-10-06 11:30:43 install glib-networking-services:amd64 <none> 2.64.2-1ubuntu0.1
2021-10-06 11:30:43 status half-installed glib-networking-services:amd64 2.64.2-1ubuntu0.1
2021-10-06 11:30:43 status unpacked glib-networking-services:amd64 2.64.2-1ubuntu0.1
2021-10-06 11:30:43 install gsettings-desktop-schemas:all <none> 3.36.0-1ubuntu1
2021-10-06 11:30:43 status half-installed gsettings-desktop-schemas:all 3.36.0-1ubuntu1
2021-10-06 11:30:43 status unpacked gsettings-desktop-schemas:all 3.36.0-1ubuntu1
2021-10-06 11:30:43 install glib-networking:amd64 <none> 2.64.2-1ubuntu0.1
2021-10-06 11:30:43 status half-installed glib-networking:amd64 2.64.2-1ubuntu0.1
2021-10-06 11:30:43 status unpacked glib-networking:amd64 2.64.2-1ubuntu0.1
2021-10-06 11:30:43 install gnome-icon-theme:all <none> 3.12.0-3
